,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
1,SK-OV-3,Ctrl,-0.047016803,-0.112722451,0.054838419,-0.044550452,0.036418716,0.010234086,-0.01347319,0.090650836,-0.043963099,0.012160516,0.060156411,-0.033794784,0.04460613,-0.064662719,-0.053816362,-0.026979612,-0.041670364,-0.0171611,0.330226805,-0.070038923,-0.030471115,0.053616561,0.007973248
2,SK-OV-3,Ctrl,-0.044402853,-0.070218452,0.055160286,-0.039788082,0.036498672,-0.0004887,-0.006654972,0.08730149,-0.040329078,0.014004482,0.048874778,-0.036420674,0.045895882,-0.061283278,-0.050382346,-0.020288406,-0.041882082,6.33E-05,0.313392299,-0.042291208,-0.036416069,0.075525569,0.00238633
3,SK-OV-3,Ctrl,-0.04745305,-0.125146384,0.055242906,-0.046864269,0.037137267,0.011333375,-0.015133598,0.093144099,-0.038080049,0.008889055,0.064970057,-0.034621786,0.044730452,-0.066299701,-0.061643471,-0.033707543,-0.047313718,-0.004851643,0.330919034,-0.079470809,-0.062287218,0.060523568,0.015333199
4,TOV-21G,Ctrl,-0.028464217,-0.019654424,0.035947858,-0.018352788,0.027661262,-0.068652221,-0.04317052,0.032232297,-0.023966465,0.099510455,-0.001348136,0.002052998,0.018337864,-0.078249804,-0.014377902,-0.034245887,-0.016419955,-0.021103602,-0.007678932,-0.072413851,-0.023897649,-0.047520567,-0.023562787
5,TOV-21G,Ctrl,-0.03056613,-0.063707012,0.033438488,-0.021459882,0.027965531,-0.066376393,-0.048651272,0.03029758,-0.02031434,0.100872342,0.011401916,5.85E-05,0.01643486,-0.081692847,-0.01930253,-0.040836387,-0.025767443,-0.032912572,-0.002474136,-0.083587193,-0.036667069,-0.032256642,0.010288483
6,TOV-21G,Ctrl,-0.026669198,0.028969225,0.033745098,-0.0111594,0.026935273,-0.078480188,-0.039684021,0.02642429,-0.019902824,0.105544099,-0.009418592,0.00360969,0.018601375,-0.073389277,-0.002119828,-0.033147756,-0.016080425,-0.02381686,-0.011449361,-0.046431264,-0.009701289,-0.037066426,-0.032504055
7,OVISE,Ctrl,-0.040366472,0.024090478,0.02271523,-0.016814005,0.036130523,-0.101963946,0.096379913,-0.057646201,-0.030596235,0.207728679,0.017344918,-0.034250316,0.087484793,-0.03275127,-0.02660859,-0.012870189,-0.022802034,-0.037452147,-0.029498218,0.001563669,0.282684278,-0.035627542,-0.07594588
8,OVISE,Ctrl,-0.041317412,-0.00301601,0.022859841,-0.023730558,0.034503148,-0.09489117,0.095506443,-0.059311008,-0.034192195,0.206056123,0.028013625,-0.036389942,0.088096351,-0.03418353,-0.038395492,-0.019645047,-0.030834651,-0.033068961,-0.016191095,-0.014814858,0.330550956,-0.04253166,-0.113109577
9,OVISE,Ctrl,-0.037754501,0.028887901,0.021659891,-0.017316762,0.033813244,-0.101717662,0.098009952,-0.060623185,-0.027772284,0.207281667,0.014856466,-0.032845634,0.087901132,-0.031894534,-0.026443452,-0.011076285,-0.019334439,-0.028515923,-0.02773819,0.015275752,0.309734697,-0.019977145,-0.11110537
10,TOV-112D,Ctrl,0.035902094,0.038288993,-0.107318896,-0.016448814,0.008600903,0.124491101,-0.095041912,-0.047233884,0.040843609,-0.065926044,0.069772588,0.264583135,-0.129220082,-0.054443656,0.070760267,-0.034142198,-0.028278807,0.084969204,-0.03500552,0.015901802,-0.020927726,-0.067361236,0.041961986
11,TOV-112D,Ctrl,0.03442791,0.021694675,-0.106452608,-0.016078421,0.008688261,0.121188216,-0.094023723,-0.046094551,0.045441905,-0.067868105,0.065841177,0.265958934,-0.131014241,-0.060793072,0.06799759,-0.018872255,-0.027976469,0.065373617,-0.023703615,0.012404845,-0.013233213,-0.065427585,0.091214092
12,TOV-112D,Ctrl,0.033128377,-0.017540955,-0.106051845,-0.022972224,0.008989855,0.12635695,-0.102888427,-0.048021803,0.043184643,-0.070891769,0.077754124,0.277401764,-0.128466127,-0.065932047,0.068134565,-0.034943496,-0.030826909,0.09658742,-0.041691246,0.022278213,-0.029345436,-0.059594919,0.119152745
13,OV56,Ctrl,-0.053815371,-0.109232456,0.048833703,-0.026792704,0.036211677,-0.003507732,-0.056274934,0.121479518,-0.030821634,0.073083526,-0.049542063,-0.031150958,0.029878466,-0.091685839,-0.049474192,-0.03376062,-0.011104514,-0.156509338,0.001773657,-0.212798799,-0.04882312,0.057380473,-0.080935054
14,OV56,Ctrl,-0.05049,-0.082678724,0.049215779,-0.027840082,0.037587707,-0.004835677,-0.052579715,0.123414604,-0.02879794,0.073523221,-0.054535417,-0.035896771,0.030347613,-0.078111629,-0.062756721,-0.032935038,-0.008082744,-0.15480051,0.009606292,-0.207974742,-0.060874384,0.065892373,-0.081488241
15,OV56,Ctrl,-0.052007595,-0.091260375,0.050096402,-0.025698733,0.038296661,-0.008651349,-0.051752885,0.125832855,-0.026918438,0.073255133,-0.059762649,-0.035828463,0.030565436,-0.082029893,-0.059236719,-0.028551572,-0.005534266,-0.134905186,0.008195152,-0.206822361,-0.037276277,0.06331649,-0.091986933
16,COV362,Ctrl,-0.052215649,-0.076075392,0.056425265,-0.038950343,0.024577599,-0.005274511,0.041106857,0.092854267,-0.029091967,-0.04762044,-0.035824223,-0.048401873,0.044926734,0.001753161,-0.063209941,-0.002501867,-0.000222444,-0.11755081,-0.026013894,-0.041774204,-0.071763603,0.047119178,-0.034277864
17,COV362,Ctrl,-0.053663344,-0.132140056,0.056952624,-0.045046,0.02515447,-0.003718776,0.036631409,0.094701081,-0.031246743,-0.047150237,-0.025588513,-0.046969773,0.043139249,-0.010614371,-0.08833359,0.005163581,0.00064901,-0.096278813,-0.028161107,-0.08020927,-0.119670242,0.083815723,-0.038247827
18,COV362,Ctrl,-0.052705013,-0.118158989,0.056526271,-0.040816658,0.025000805,-0.003905956,0.038288849,0.095836166,-0.031992807,-0.048938234,-0.027036619,-0.049315392,0.043250928,-0.011409123,-0.085170028,0.005062323,0.002500793,-0.095687688,-0.023903102,-0.091413561,-0.096913161,0.032566059,-0.019752839
19,COV504,Ctrl,-0.053736543,-0.045438712,0.052450439,-0.010770746,0.034234933,-0.003400738,-0.002368965,0.154054907,-0.01766137,-0.066779933,0.020577686,-0.037776827,0.014966531,-0.003488326,-0.039838025,-0.0014898,-0.014378927,-0.087650053,0.071051356,-0.038097134,-0.043290392,0.108549155,0.1144302
20,COV504,Ctrl,-0.054922569,-0.080417209,0.053418096,-0.019230792,0.033595988,0.003993563,-0.006475069,0.149871685,-0.024181353,-0.059453436,0.021257617,-0.029558682,0.014924137,0.000631874,-0.048403365,0.003984933,-0.013040494,-0.093573938,0.05822984,-0.03544372,-0.011779206,0.116613661,0.143447435
21,COV504,Ctrl,-0.05538577,-0.064169955,0.052638293,-0.012247394,0.035158256,0.005480838,-0.01013801,0.145375926,-0.022609195,-0.062040875,0.01983672,-0.032832173,0.015716812,-0.001111765,-0.048210107,0.010985008,-0.011781341,-0.07000082,0.062627813,-0.042512535,-0.065356551,0.119424981,0.141285711
22,COLO-704,Ctrl,0.207099234,0.064024053,-0.142367445,-0.020148693,-0.224567243,0.137825053,-0.10341722,-0.052325954,-8.75E-05,-0.065754667,0.12813414,0.037299311,-0.141345269,-0.006767851,0.115392504,-0.045561305,-0.031914205,0.015710055,-0.013247403,0.112103718,-0.02429843,-0.065708936,0.094439541
23,COLO-704,Ctrl,0.204637018,0.116289178,-0.145532789,-0.018453226,-0.228223893,0.140982655,-0.098142675,-0.057094063,0.000129976,-0.066304912,0.128138036,0.035277145,-0.138370653,0.004704404,0.11465677,-0.039712894,-0.025773865,0.016185883,-0.021237648,0.076186327,0.004370156,-0.075267889,0.097929393
24,COLO-704,Ctrl,0.214693747,0.064478337,-0.147981849,-0.02255622,-0.22903415,0.139189426,-0.101969955,-0.0530541,0.003833337,-0.067740236,0.137459166,0.040005823,-0.142507771,-0.00407323,0.113496575,-0.041265554,-0.032877677,0.040076946,-0.014038315,0.075401921,-0.014919874,-0.059399341,0.055571479
25,COLO,Ctrl,0.193332884,0.110334727,-0.133935492,-0.011041681,-0.220732936,0.121371944,-0.082069514,-0.056877836,0.003585045,-0.056784638,0.127066046,0.028597472,-0.127887597,-0.013544141,0.108117341,-0.05014294,-0.013790063,0.060499472,-0.021164402,0.106703871,-0.011622245,-0.049255429,0.135308462
26,COLO,Ctrl,0.191078803,0.060943234,-0.132129867,-0.015424468,-0.215324831,0.123021436,-0.080465393,-0.052399458,-0.004037084,-0.056730186,0.129261623,0.024918828,-0.124853944,-0.018615142,0.090642896,-0.047199523,-0.022556107,0.029009623,-0.014058749,0.093659111,-0.035123273,-0.050785383,0.119123869
27,COLO,Ctrl,0.194903853,0.081456939,-0.13215012,-0.018695652,-0.218980067,0.11872635,-0.077855355,-0.056706845,-0.000489956,-0.058182666,0.128963436,0.025585705,-0.127406985,-0.015733439,0.112698874,-0.050780551,-0.014657627,0.064822914,-0.012503766,0.099757694,-0.016563101,-0.076992958,0.106521149
28,A2780,Ctrl,0.060894267,0.054158359,-0.145162652,-0.000994142,0.007538457,0.139089883,-0.102728691,-0.054304766,0.307251518,-0.056150595,0.074198167,0.101188303,-0.136709582,-0.032933261,0.203279143,-0.051653346,-0.026408624,0.086228569,-0.022641197,0.066177409,0.030190999,-0.109040206,0.093132488
29,A2780,Ctrl,0.060601952,0.089211534,-0.143714973,-0.000581728,0.008957713,0.137204308,-0.097991484,-0.05804027,0.297452969,-0.054074545,0.069724221,0.099454354,-0.136617296,-0.029660663,0.188718498,-0.054588115,-0.027942802,0.079381159,-0.009025801,0.082489896,0.023165554,-0.079959946,0.062345884
30,A2780,Ctrl,0.0611555,0.088936163,-0.145010389,-0.002728365,0.006998587,0.136871356,-0.095798582,-0.0573011,0.292674519,-0.054049024,0.065649965,0.099621862,-0.135755244,-0.03048852,0.188325563,-0.058017316,-0.018097872,0.072499074,-0.007215012,0.077691897,0.017229385,-0.091395191,0.096090759
31,COV644,Ctrl,-0.054732059,-0.066676629,0.0672227,0.016423009,0.032738791,-0.100876603,0.132307582,-0.003176445,-0.03743236,-0.012312843,-0.037695959,-0.044814062,0.037410086,-0.040438319,-0.120349001,0.286841443,0.066288944,0.025944684,-0.032735028,-0.020948489,-0.070657645,0.256887443,-0.115344303
32,COV644,Ctrl,-0.056564492,-0.1034343,0.066559761,0.012114455,0.033000971,-0.095298904,0.126925321,-0.005006726,-0.035580903,-0.015783091,-0.032297572,-0.042230012,0.036044098,-0.049914918,-0.126377312,0.291971433,0.061753252,0.051300406,-0.038570085,-0.035199582,-0.052017072,0.258256595,-0.084784079
33,COV644,Ctrl,-0.055186174,-0.082196112,0.066395926,0.010827949,0.032703811,-0.10214938,0.127189188,-0.00306516,-0.030977693,-0.014857118,-0.034404319,-0.03957374,0.035737689,-0.042308381,-0.118539216,0.290399446,0.068188694,0.051208224,-0.03123354,-0.019947768,-0.045263368,0.262040189,-0.091870975
34,EFO-27,Ctrl,-0.018668992,-0.037954282,0.045455963,-0.015918462,0.028164892,0.004563019,0.028391507,0.040137055,-0.021683208,-0.023194177,-0.031466273,-0.024774,0.018132026,-0.038507838,-0.040217202,0.036595493,-0.013187805,-0.020014288,-0.022170191,0.033320357,-0.038849105,-0.005684236,-0.040882377
35,EFO-27,Ctrl,-0.020306402,-0.089238906,0.046917766,-0.017216075,0.027099812,0.002811662,0.024075594,0.042664722,-0.026154014,-0.024371446,-0.020269704,-0.023907562,0.017386831,-0.036674908,-0.051861101,0.040379458,-0.007122358,-0.003057747,-0.008677908,0.015630088,-0.043191499,0.005673555,-0.027828994
36,EFO-27,Ctrl,-0.017930961,0.003798152,0.043389118,-0.00655098,0.028359987,-0.003800785,0.02816255,0.03437926,-0.018442735,-0.018154069,-0.036624801,-0.02425301,0.019369824,-0.028334569,-0.026201656,0.037946796,-0.019045235,-0.003767821,-0.016632689,0.077550673,-0.008482895,0.002929476,-0.021411113
37,OVCAR-3,Ctrl,-0.021124044,-0.080132705,-0.011639568,-0.030551553,4.01E-05,0.00840992,0.086395744,-0.069161187,-0.024669984,-0.03835323,-0.007576156,-0.018154249,0.036272039,0.183665118,-0.024097926,-0.015025148,-0.004256944,-0.011578491,-0.054010713,-0.030188767,-0.042542775,-0.01533667,-0.050423362
38,OVCAR-3,Ctrl,-0.019444856,-0.055208658,-0.011459775,-0.032289459,-0.000628656,0.006990526,0.084341777,-0.073935411,-0.024934055,-0.036612668,-0.009624425,-0.0187735,0.034329547,0.184661558,-0.004773734,-0.016518569,-0.004492078,-0.002917814,-0.047337879,-0.021149091,-0.014549123,0.004580407,-0.062636015
39,OVCAR-3,Ctrl,-0.019669651,-0.061309907,-0.010597311,-0.028447544,0.001394143,0.00547213,0.089346495,-0.07420913,-0.026962444,-0.035472699,-0.015189592,-0.019643887,0.03701271,0.183557217,-0.013907079,-0.019294503,-0.003012192,-0.012304544,-0.043785376,-0.021166623,-0.0229476,0.000623792,-0.04594681
40,OV-90,Ctrl,-0.020574874,0.011772845,-0.009918624,0.324896369,0.004380695,0.020343136,-0.018787579,-0.048316016,-0.018085108,-0.00973188,-0.067235314,-0.018837742,-0.005508807,-0.016916939,0.016527336,-0.002205912,-0.019342763,0.039306357,-0.025467191,0.002967854,0.02588046,-0.027610483,-0.008274012
41,OV-90,Ctrl,-0.022718595,0.034181063,-0.010302674,0.32254917,0.004541075,0.019668501,-0.014403864,-0.044878038,-0.014556291,-0.009565941,-0.070913559,-0.018004145,-0.004109697,-0.022620169,0.00957744,-0.008505739,-0.024109294,0.060047831,-0.028705238,0.033092756,-0.001509195,-0.044260681,-0.015061703
42,OV-90,Ctrl,-0.018725834,0.069883012,-0.012555056,0.324755246,0.00641011,0.019446533,-0.011336624,-0.052211768,-0.016675588,-0.00771889,-0.085252472,-0.013123203,-0.005136469,-0.015535636,0.02951541,-0.000171302,-0.015405547,0.055398253,-0.023102701,0.039641795,0.014717269,-0.009484573,-0.042881705
43,KURAMOCHI,Ctrl,-0.010907014,-0.00721878,0.016394804,-0.01385591,0.023063906,-0.027837543,-0.016711139,-0.03571545,-0.003015832,-0.034388953,-0.072187393,-0.03245137,0.033439743,0.147275741,-0.004788476,-0.053413568,-0.031391159,-0.037394853,-0.043033128,0.034968172,-0.021717711,-0.049398767,-0.088877114
44,KURAMOCHI,Ctrl,-0.012772515,-0.027555537,0.018057799,-0.015539124,0.024785041,-0.032449913,-0.020000256,-0.033757979,-0.003042325,-0.03662426,-0.070904029,-0.032163036,0.035682206,0.147517083,-0.007992548,-0.03942094,-0.029053716,-0.004879626,-0.046379151,0.012361986,-0.018433503,-0.028471057,-0.043588961
45,KURAMOCHI,Ctrl,-0.011168926,-0.0516304,0.017842031,-0.020625761,0.022860512,-0.02594345,-0.021158219,-0.034010042,-0.003282393,-0.032900315,-0.065937553,-0.035685305,0.033665336,0.139642899,-0.026799195,-0.056730115,-0.03045803,-0.002999843,-0.043710507,0.02232905,0.005385442,-0.040973731,-0.052946467
46,OVTOKO,Ctrl,-0.04534469,0.045559109,0.060320235,0.000592292,0.044904124,-0.062953917,-0.038357875,0.058908162,-0.025156782,0.161745098,-0.084021696,-0.029508413,0.05792405,-0.07594994,-0.015626244,-0.025114525,-0.023391602,-0.06601979,-0.022985785,-0.003647901,0.070301665,-0.043336423,-0.007544853
47,OVTOKO,Ctrl,-0.047340068,-0.017112449,0.062811919,-0.00176138,0.045059693,-0.063034563,-0.042111869,0.060094749,-0.029244675,0.162226632,-0.07602791,-0.025970845,0.05656974,-0.082279224,-0.008257775,-0.030761806,-0.01475578,-0.098046907,-0.021176055,-0.012602336,0.036009533,-0.028103255,-0.022995796
48,OVTOKO,Ctrl,-0.042907502,0.060824997,0.061334895,0.000758926,0.046248939,-0.062539559,-0.035066449,0.054127498,-0.030849972,0.163000627,-0.087361574,-0.028649018,0.059730655,-0.062050817,-0.009419708,-0.022988685,-0.019748642,-0.114736608,-0.022370369,0.001467546,0.052950834,-0.033434268,-0.008629289
49,OVCAR-4,Ctrl,-0.027661683,0.039171336,0.032660216,-0.015090338,0.021718934,-0.026991884,0.113199433,-0.0675387,-0.027906702,0.023541986,-0.082529386,-0.044786823,0.079852643,0.110044048,-0.048250014,0.003159052,-0.005960756,0.048860647,-0.030579341,-0.006132843,0.082884911,-0.010292975,-0.098902309
50,OVCAR-4,Ctrl,-0.026263499,0.063326785,0.03284634,-0.013265731,0.021784478,-0.032087688,0.114095487,-0.06842854,-0.026285661,0.025209461,-0.089582906,-0.045833873,0.081766506,0.107750778,-0.04352569,0.010579615,-0.010076609,0.038726048,-0.043029876,-0.014018883,0.067690252,-0.016293442,-0.09452952
51,OVCAR-4,Ctrl,-0.027429298,0.052145651,0.034107486,-0.012610192,0.023259706,-0.035459042,0.11535127,-0.068651327,-0.026396146,0.028094911,-0.091997991,-0.04969571,0.082333163,0.103958046,-0.043668759,0.006780127,-0.018089554,0.030361203,-0.041222209,-0.008743633,0.052829669,-0.00990796,-0.080311332
52,OVSAHO,Ctrl,0.014028233,0.00763111,-0.014944947,-0.022289415,-0.011071511,0.02068177,0.007179418,-0.071958559,-0.017435534,-0.040110753,0.064658748,-0.011360649,0.023825978,0.151447117,0.005968131,-0.047605507,-0.016516769,0.060160845,-0.01647306,0.070452779,-0.002602782,-0.026171897,0.02532381
53,OVSAHO,Ctrl,0.004620157,-0.023846816,-0.01143823,-0.027016124,-0.007883098,0.021581018,0.009549155,-0.074980896,-0.024781329,-0.049004335,0.066075688,-0.017548875,0.026551763,0.14423015,-0.011868397,-0.028007314,-0.017091534,0.049743338,-0.01384167,0.082670748,-0.056744435,0.004605291,0.062645784
54,OVSAHO,Ctrl,0.014248136,-0.017568778,-0.014091094,-0.023273653,-0.011108048,0.023005327,0.009340194,-0.081832551,-0.017356421,-0.043513864,0.069539397,-0.017035677,0.024198071,0.160229629,0.00218779,-0.05875725,-0.020894172,0.060274796,-0.011638265,0.06802766,-0.044060542,-0.033172126,0.098946986
55,EFO-21,Ctrl,-0.043866388,-0.120687059,0.0413004,-0.017931393,0.029068621,-0.013157896,-0.01669688,-0.017593329,-0.035788207,0.039332616,0.003336964,-0.048709562,0.061274078,0.020749928,-0.062183769,-0.015916959,-0.035719183,0.052750902,-0.000275721,-0.100628592,-0.059503074,0.001947903,-0.050404419
56,EFO-21,Ctrl,-0.042713845,-0.074352309,0.041520372,-0.011627356,0.032420241,-0.017264587,-0.012284906,-0.020218647,-0.035256547,0.040504806,-0.003741057,-0.048297526,0.063401153,0.021706433,-0.040118098,-0.018284583,-0.041731153,0.025679359,-0.000552249,-0.057641766,-0.028830099,0.024997132,-0.049701252
57,EFO-21,Ctrl,-0.03986613,-0.094380104,0.040812812,-0.013752221,0.031364714,-0.016475432,-0.009969576,-0.018426962,-0.035542932,0.040401639,-0.0034797,-0.048131799,0.064002886,0.028414095,-0.050644279,-0.016680196,-0.036152994,0.033071555,-0.004778604,-0.058487166,-0.021119312,-0.000740425,-0.064719881
58,COV434,Ctrl,0.052295036,0.142034601,-0.093403915,0.004567561,-0.002754823,0.035057953,-0.077713451,-0.063078496,0.054492917,-0.030293666,0.081664988,0.078354956,-0.091832285,-0.013754468,0.092199447,-0.036830065,-0.012179446,0.137781876,-0.017208653,0.127114106,0.045536627,-0.082631537,0.016004293
59,COV434,Ctrl,0.051953398,0.074416408,-0.092605001,-0.001085944,-0.004525221,0.036621016,-0.077184583,-0.061957516,0.050495362,-0.035875473,0.085752313,0.091408376,-0.092962246,-0.021315828,0.080479551,-0.050779549,-0.024755167,0.187841662,-0.009566981,0.078682762,-0.005813986,-0.047310811,0.129116422
60,COV434,Ctrl,0.053704766,0.081761001,-0.092852803,-0.000657574,-0.001175434,0.036303881,-0.078264942,-0.06402387,0.053913082,-0.034136889,0.084100307,0.080584298,-0.089841995,-0.005373507,0.071695459,-0.050723079,-0.01982044,0.138110799,0.008679351,0.104782341,0.039778609,-0.043421657,0.054767412
61,CaOv3,Ctrl,-0.043834403,-0.061387506,0.035405484,-0.019452804,0.017041281,-0.021931613,0.10893764,-0.005925704,-0.021356018,-0.04920493,-0.107278851,-0.021436196,0.025568075,-0.01239693,-0.026536539,0.093045705,0.308860095,0.037445184,-0.053282302,-0.069792203,-0.032034254,-0.010573946,-0.120981087
62,CaOv3,Ctrl,-0.041890383,-0.104758871,0.038361584,-0.019051558,0.019075556,-0.026056467,0.118448851,-0.010405383,-0.028905289,-0.050356737,-0.111838072,-0.031644095,0.028058085,-0.02376492,-0.045911542,0.089253055,0.338594142,0.041615111,-0.050981427,-0.050167989,-0.035876751,-0.031750313,-0.057478077
